datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO_lag_1,CO_lag_2,CO_lag_3,CO_lag_24,NO2_lag_1,NO2_lag_2,NO2_lag_3,NO2_lag_24,hour,day_of_week,month
2004-03-13 16:00:00,2.5,1306.0,111.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,2.0,2.0,2.8,2.7,116.0,102.0,124.0,123.0,16,5,3
2004-03-13 17:00:00,2.3,1326.0,97.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,2.5,2.0,2.0,2.9,124.0,116.0,102.0,126.0,17,5,3
2004-03-13 18:00:00,3.2,1473.0,191.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,2.3,2.5,2.0,2.8,125.0,124.0,116.0,120.0,18,5,3
2004-03-13 19:00:00,4.2,1609.0,258.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,3.2,2.3,2.5,2.4,148.0,125.0,124.0,119.0,19,5,3
2004-03-13 20:00:00,4.2,1611.0,284.0,19.2,1274.0,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786,4.2,3.2,2.3,3.9,165.0,148.0,125.0,149.0,20,5,3
2004-03-13 21:00:00,4.2,1621.0,269.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091,4.2,4.2,3.2,3.7,161.0,165.0,148.0,145.0,21,5,3
2004-03-13 22:00:00,3.1,1444.0,180.0,13.1,1089.0,214.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806,4.2,4.2,4.2,4.4,159.0,161.0,165.0,149.0,22,5,3
2004-03-13 23:00:00,2.6,1418.0,116.0,10.9,1010.0,172.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193,3.1,4.2,4.2,3.5,143.0,159.0,161.0,139.0,23,5,3
2004-03-14 00:00:00,2.9,1534.0,93.0,11.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498,2.6,3.1,4.2,2.7,130.0,143.0,159.0,113.0,0,6,3
2004-03-14 01:00:00,2.8,1484.0,131.0,11.9,1045.0,174.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536,2.9,2.6,3.1,1.9,129.0,130.0,143.0,97.0,1,6,3
2004-03-14 02:00:00,2.5,1367.0,92.0,8.6,925.0,128.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537,2.8,2.9,2.6,1.6,119.0,129.0,130.0,82.0,2,6,3
2004-03-14 03:00:00,2.4,1344.0,132.0,9.7,968.0,99.0,921.0,93.0,1620.0,1278.0,11.6,63.4,0.8674,2.5,2.8,2.9,1.7,104.0,119.0,129.0,82.5,3,6,3
2004-03-14 04:00:00,1.7999999999999998,1130.0,56.0,5.2,773.0,70.0,1130.0,82.0,1452.0,1051.0,12.1,61.1,0.8603,2.4,2.5,2.8,1.35,93.0,104.0,119.0,83.0,4,6,3
2004-03-14 05:00:00,1.2,1062.0,32.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533,1.7999999999999998,2.4,2.5,1.0,82.0,93.0,104.0,65.0,5,6,3
2004-03-14 06:00:00,1.0,1076.0,29.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473,1.2,1.7999999999999998,2.4,1.2,70.0,82.0,93.0,60.0,6,6,3
2004-03-14 07:00:00,0.9,1028.0,27.0,2.4,615.0,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853,1.0,1.2,1.7999999999999998,1.5,63.0,70.0,82.0,77.0,7,6,3
2004-03-14 08:00:00,1.4,1155.0,36.0,4.2,722.0,101.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853,0.9,1.0,1.2,2.7,67.0,63.0,70.0,96.0,8,6,3
2004-03-14 09:00:00,1.6,1235.0,57.0,6.4,828.0,118.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627,1.4,0.9,1.0,3.7,84.0,67.0,63.0,119.0,9,6,3
2004-03-14 10:00:00,2.2,1332.0,129.0,8.6,923.0,144.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728,1.6,1.4,0.9,3.2,83.0,84.0,67.0,126.0,10,6,3
2004-03-14 11:00:00,2.8,1445.0,148.0,10.9,1009.0,176.0,878.0,114.0,1696.0,1355.0,16.9,46.1,0.8789,2.2,1.6,1.4,4.1,98.0,83.0,84.0,158.0,11,6,3
2004-03-14 12:00:00,2.8,1416.0,145.0,10.7,1002.0,161.0,907.0,119.0,1677.0,1262.0,19.3,38.3,0.8474,2.8,2.2,1.6,3.6,114.0,98.0,83.0,161.0,12,6,3
2004-03-14 13:00:00,2.0,1281.0,93.0,7.5,880.0,113.0,1084.0,104.0,1525.0,980.0,21.2,31.4,0.7812,2.8,2.8,2.2,2.8,119.0,114.0,98.0,124.0,13,6,3
2004-03-14 14:00:00,1.8,1207.0,84.0,7.5,879.0,103.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616,2.0,2.8,2.8,2.0,104.0,119.0,114.0,102.0,14,6,3
2004-03-14 15:00:00,1.9,1258.0,99.0,8.2,906.0,112.0,1081.0,107.0,1511.0,900.0,21.9,29.0,0.7525,1.8,2.0,2.8,2.0,102.0,104.0,119.0,116.0,15,6,3
2004-03-14 16:00:00,3.0,1458.0,150.0,11.9,1045.0,170.0,974.0,129.0,1646.0,1099.0,22.2,28.4,0.7516,1.9,1.8,2.0,2.5,107.0,102.0,104.0,124.0,16,6,3
2004-03-14 17:00:00,2.9,1438.0,156.0,12.0,1051.0,180.0,943.0,128.0,1668.0,1206.0,21.3,30.8,0.7696,3.0,1.9,1.8,2.3,129.0,107.0,102.0,125.0,17,6,3
2004-03-14 18:00:00,2.5,1478.0,122.0,12.2,1055.0,160.0,929.0,121.0,1671.0,1262.0,19.7,36.7,0.8307,2.9,3.0,1.9,3.2,128.0,129.0,107.0,148.0,18,6,3
2004-03-14 19:00:00,4.6,1808.0,262.0,20.6,1312.0,261.0,753.0,157.0,1993.0,1698.0,18.4,41.7,0.8732,2.5,2.9,3.0,4.2,121.0,128.0,129.0,165.0,19,6,3
2004-03-14 21:00:00,3.4,1560.0,214.0,14.7,1140.0,217.0,784.0,146.0,1818.0,1648.0,16.7,49.6,0.932,4.6,2.5,2.9,4.2,157.0,121.0,128.0,161.0,21,6,3
2004-03-14 22:00:00,2.1,1324.0,100.0,9.0,940.0,146.0,924.0,121.0,1587.0,1423.0,16.3,51.0,0.9341,3.4,4.6,2.5,4.2,146.0,157.0,121.0,159.0,22,6,3
2004-03-14 23:00:00,2.2,1349.0,79.0,8.8,933.0,152.0,933.0,119.0,1617.0,1349.0,14.7,55.9,0.9314,2.1,3.4,4.6,3.1,121.0,146.0,157.0,143.0,23,6,3
2004-03-15 00:00:00,1.8,1239.0,66.0,7.4,872.0,104.0,985.0,99.0,1547.0,1250.0,14.8,54.7,0.9164,2.2,2.1,3.4,2.6,119.0,121.0,146.0,130.0,0,0,3
2004-03-15 01:00:00,1.8,1239.0,73.0,6.9,853.0,106.0,1010.0,93.0,1543.0,1174.0,14.0,57.0,0.9094,1.8,2.2,2.1,2.9,99.0,119.0,121.0,129.0,1,0,3
2004-03-15 02:00:00,1.8,1224.0,66.0,7.0,855.0,108.0,998.0,88.0,1566.0,1149.0,13.4,61.3,0.9361,1.8,1.8,2.2,2.8,93.0,99.0,119.0,119.0,2,0,3
2004-03-15 03:00:00,1.1,1078.0,44.0,4.4,734.0,87.0,1128.0,79.5,1487.0,1021.0,12.6,63.5,0.923,1.8,1.8,1.8,2.5,88.0,93.0,99.0,104.0,3,0,3
2004-03-15 04:00:00,1.05,1078.0,44.0,4.0,711.0,66.0,1150.0,71.0,1468.0,1013.0,12.3,65.4,0.9351,1.1,1.8,1.8,2.4,79.5,88.0,93.0,93.0,4,0,3
2004-03-15 05:00:00,1.0,1075.0,39.0,3.9,703.0,88.0,1156.0,74.0,1464.0,1010.0,11.9,67.4,0.9375,1.05,1.1,1.8,1.7999999999999998,71.0,79.5,88.0,82.0,5,0,3
2004-03-15 06:00:00,1.4,1157.0,51.0,6.4,830.0,138.0,1030.0,80.0,1584.0,1083.0,11.4,70.5,0.9475,1.0,1.05,1.1,1.2,74.0,71.0,79.5,70.0,6,0,3
2004-03-15 07:00:00,2.2,1314.0,107.0,9.7,966.0,228.0,897.0,89.0,1710.0,1235.0,11.3,70.2,0.9401,1.4,1.0,1.05,1.0,80.0,74.0,71.0,63.0,7,0,3
2004-03-15 11:00:00,4.2,1564.0,334.0,20.1,1300.0,319.0,710.0,155.0,2029.0,1798.0,19.8,38.5,0.8801,2.2,1.4,1.0,0.9,89.0,80.0,74.0,67.0,11,0,3
2004-03-15 12:00:00,3.1,1430.0,221.0,14.1,1120.0,201.0,831.0,134.0,1783.0,1522.0,22.0,34.1,0.8904,4.2,2.2,1.4,1.4,155.0,89.0,80.0,84.0,12,0,3
2004-03-15 13:00:00,2.9,1417.0,207.0,14.9,1146.0,171.0,830.0,119.0,1831.0,1404.0,23.3,32.2,0.9096,3.1,4.2,2.2,1.6,134.0,155.0,89.0,83.0,13,0,3
2004-03-15 14:00:00,2.9,1400.0,191.0,15.4,1162.0,159.0,838.0,111.0,1829.0,1263.0,23.9,30.0,0.8757,2.9,3.1,4.2,2.2,119.0,134.0,155.0,98.0,14,0,3
2004-03-15 15:00:00,2.5,1317.0,185.0,12.1,1053.0,153.0,926.0,104.0,1707.0,1137.0,24.4,28.9,0.8736,2.9,2.9,3.1,2.8,111.0,119.0,134.0,114.0,15,0,3
2004-03-15 16:00:00,2.3,1318.0,141.0,11.5,1033.0,143.0,950.0,99.0,1675.0,1068.0,24.4,29.4,0.8848,2.5,2.9,2.9,2.8,104.0,111.0,119.0,119.0,16,0,3
2004-03-15 17:00:00,2.8,1445.0,214.0,14.8,1141.0,156.0,857.0,110.0,1824.0,1252.0,23.8,31.3,0.9137,2.3,2.5,2.9,2.0,99.0,104.0,111.0,104.0,17,0,3
2004-03-15 21:00:00,4.2,1595.0,319.0,19.9,1294.0,256.0,678.0,145.0,2058.0,1707.0,16.7,57.4,1.0786,2.8,2.3,2.5,1.8,110.0,99.0,104.0,102.0,21,0,3
2004-03-15 22:00:00,3.2,1439.0,224.0,15.3,1159.0,193.0,764.0,125.0,1856.0,1494.0,15.7,60.2,1.0654,4.2,2.8,2.3,1.9,145.0,110.0,99.0,107.0,22,0,3
2004-03-15 23:00:00,1.4,1142.0,67.0,6.9,852.0,89.0,1008.0,101.0,1547.0,1164.0,15.3,61.4,1.058,3.2,4.2,2.8,3.0,125.0,145.0,110.0,129.0,23,0,3
2004-03-16 00:00:00,2.1,1304.0,155.0,11.1,1019.0,127.0,852.0,103.0,1731.0,1272.0,14.1,65.7,1.0494,1.4,3.2,4.2,2.9,101.0,125.0,145.0,128.0,0,1,3
2004-03-16 01:00:00,1.2,1074.0,49.0,5.4,784.0,79.0,1098.0,88.0,1483.0,1040.0,14.8,60.6,1.0148,2.1,1.4,3.2,2.5,103.0,101.0,125.0,121.0,1,1,3
2004-03-16 02:00:00,0.8,968.0,29.0,2.8,640.0,43.0,1320.0,61.0,1386.0,867.0,14.8,59.2,0.9879,1.2,2.1,1.4,4.6,88.0,103.0,101.0,157.0,2,1,3
2004-03-16 03:00:00,0.7,929.0,25.0,2.3,608.0,51.0,1376.0,60.0,1364.0,826.0,13.6,62.1,0.9636,0.8,1.2,2.1,3.4,61.0,88.0,103.0,146.0,3,1,3
2004-03-16 04:00:00,0.6499999999999999,941.0,25.0,2.6,626.0,59.0,1316.0,59.0,1373.0,840.0,12.3,66.2,0.945,0.7,0.8,1.2,2.1,60.0,61.0,88.0,121.0,4,1,3
2004-03-16 05:00:00,0.6,937.0,17.0,2.0,585.0,38.0,1412.0,52.0,1348.0,793.0,12.8,63.2,0.9283,0.6499999999999999,0.7,0.8,2.2,59.0,60.0,61.0,119.0,5,1,3
2004-03-16 06:00:00,0.9,1017.0,27.0,3.5,681.0,82.0,1246.0,64.0,1418.0,870.0,11.2,68.5,0.9081,0.6,0.6499999999999999,0.7,1.8,52.0,59.0,60.0,99.0,6,1,3
2004-03-16 07:00:00,1.3,1171.0,50.0,5.1,770.0,99.0,1162.0,70.0,1467.0,930.0,11.0,66.5,0.8705,0.9,0.6,0.6499999999999999,1.8,64.0,52.0,59.0,93.0,7,1,3
2004-03-16 08:00:00,3.4,1541.0,218.0,16.2,1185.0,263.0,770.0,97.0,1889.0,1407.0,11.7,63.7,0.8719,1.3,0.9,0.6,1.8,70.0,64.0,52.0,88.0,8,1,3
2004-03-16 09:00:00,3.7,1539.0,285.0,19.7,1287.0,229.0,698.0,95.0,2055.0,1507.0,13.6,56.3,0.8743,3.4,1.3,0.9,1.1,97.0,70.0,64.0,79.5,9,1,3
2004-03-16 11:00:00,4.1,1571.0,327.0,20.0,1297.0,314.0,730.0,162.0,1973.0,1729.0,21.4,33.3,0.8417,3.7,3.4,1.3,1.05,95.0,97.0,70.0,71.0,11,1,3
2004-03-16 12:00:00,3.3,1452.0,283.0,18.3,1250.0,217.0,776.0,154.0,1868.0,1583.0,24.4,27.4,0.8231,4.1,3.7,3.4,1.0,162.0,95.0,97.0,74.0,12,1,3
2004-03-16 13:00:00,4.0,1579.0,366.0,22.3,1359.0,252.0,724.0,161.0,1998.0,1671.0,25.3,26.1,0.8264,3.3,4.1,3.7,1.4,154.0,162.0,95.0,80.0,13,1,3
2004-03-16 14:00:00,3.8,1466.0,318.0,20.4,1309.0,263.0,773.0,161.0,1897.0,1491.0,25.8,23.2,0.7589,4.0,3.3,4.1,2.2,161.0,154.0,162.0,89.0,14,1,3
2004-03-16 15:00:00,2.8,1280.0,228.0,14.6,1136.0,180.0,893.0,128.0,1675.0,1240.0,27.0,20.2,0.7094,3.8,4.0,3.3,4.2,161.0,161.0,154.0,155.0,15,1,3
2004-03-16 16:00:00,2.9,1407.0,201.0,16.6,1197.0,184.0,905.0,129.0,1759.0,1313.0,28.2,18.6,0.7014,2.8,3.8,4.0,3.1,128.0,161.0,161.0,134.0,16,1,3
2004-03-16 17:00:00,2.9,1389.0,199.0,15.8,1173.0,190.0,898.0,133.0,1739.0,1363.0,28.0,19.1,0.7098,2.9,2.8,3.8,2.9,129.0,128.0,161.0,119.0,17,1,3
2004-03-16 18:00:00,3.4,1447.0,237.0,17.8,1235.0,184.0,859.0,139.0,1778.0,1296.0,23.9,25.7,0.7519,2.9,2.9,2.8,2.9,133.0,129.0,128.0,111.0,18,1,3
2004-03-16 19:00:00,3.9,1551.0,261.0,19.1,1271.0,181.0,800.0,137.0,1875.0,1432.0,21.3,34.8,0.873,3.4,2.9,2.9,2.5,139.0,133.0,129.0,104.0,19,1,3
2004-03-16 20:00:00,3.2,1474.0,230.0,15.8,1173.0,166.0,854.0,143.0,1776.0,1432.0,20.4,36.7,0.8704,3.9,3.4,2.9,2.3,137.0,139.0,133.0,99.0,20,1,3
2004-03-16 21:00:00,5.1,1800.0,349.0,24.9,1426.0,317.0,700.0,177.0,2106.0,2034.0,19.0,41.3,0.9007,3.2,3.9,3.4,2.8,143.0,137.0,139.0,110.0,21,1,3
2004-03-16 22:00:00,2.6,1379.0,183.0,13.5,1101.0,184.0,818.0,138.0,1710.0,1602.0,17.9,45.9,0.9342,5.1,3.2,3.9,4.2,177.0,143.0,137.0,145.0,22,1,3
2004-03-16 23:00:00,1.7,1201.0,88.0,9.1,943.0,130.0,935.0,117.0,1560.0,1362.0,16.7,48.9,0.9226,2.6,5.1,3.2,3.2,138.0,177.0,143.0,125.0,23,1,3
2004-03-17 00:00:00,1.7,1205.0,85.0,8.6,925.0,132.0,922.0,107.0,1547.0,1314.0,15.5,52.9,0.9271,1.7,2.6,5.1,1.4,117.0,138.0,177.0,101.0,0,2,3
2004-03-17 01:00:00,1.2,1072.0,47.0,5.4,784.0,95.0,1066.0,90.0,1442.0,1114.0,15.5,51.9,0.9059,1.7,1.7,2.6,2.1,107.0,117.0,138.0,103.0,1,2,3
2004-03-17 02:00:00,0.9,998.0,34.0,4.1,714.0,70.0,1169.0,79.0,1383.0,992.0,14.1,55.6,0.891,1.2,1.7,1.7,1.2,90.0,107.0,117.0,88.0,2,2,3
2004-03-17 03:00:00,0.7,933.0,26.0,2.6,625.0,62.0,1292.0,69.5,1332.0,884.0,13.1,57.9,0.8666,0.9,1.2,1.7,0.8,79.0,90.0,107.0,61.0,3,2,3
2004-03-17 04:00:00,0.6,883.0,17.0,1.9,577.0,54.0,1396.0,60.0,1303.0,808.0,12.7,57.9,0.8447,0.7,0.9,1.2,0.7,69.5,79.0,90.0,60.0,4,2,3
2004-03-17 05:00:00,0.5,869.0,11.0,1.6,554.0,28.0,1460.0,40.0,1268.0,667.0,11.8,58.0,0.8026,0.6,0.7,0.9,0.6499999999999999,60.0,69.5,79.0,59.0,5,2,3
2004-03-17 06:00:00,0.5,891.0,18.0,1.9,576.0,46.0,1417.0,53.0,1289.0,733.0,11.9,57.4,0.7978,0.5,0.6,0.7,0.6,40.0,60.0,69.5,52.0,6,2,3
2004-03-17 07:00:00,1.6,1173.0,84.0,7.5,878.0,160.0,1038.0,84.0,1556.0,1052.0,9.9,65.2,0.7956,0.5,0.5,0.6,0.9,53.0,40.0,60.0,64.0,7,2,3
2004-03-17 08:00:00,4.1,1587.0,260.0,21.4,1334.0,320.0,702.0,108.0,1999.0,1534.0,11.1,60.2,0.7958,1.6,0.5,0.5,1.3,84.0,53.0,40.0,70.0,8,2,3
2004-03-17 10:00:00,4.3,1522.0,368.0,21.3,1331.0,280.0,703.0,134.0,2026.0,1734.0,17.7,40.1,0.8048,4.1,1.6,0.5,3.4,108.0,84.0,53.0,97.0,10,2,3
2004-03-17 11:00:00,2.9,1438.0,200.0,15.4,1161.0,221.0,819.0,135.0,1782.0,1595.0,21.1,33.4,0.8265,4.3,4.1,1.6,3.7,134.0,108.0,84.0,95.0,11,2,3
2004-03-17 12:00:00,2.5,1393.0,145.0,12.5,1067.0,210.0,905.0,142.0,1654.0,1490.0,24.3,28.3,0.8471,2.9,4.3,4.1,4.1,135.0,134.0,108.0,162.0,12,2,3
2004-03-17 13:00:00,2.8,1452.0,188.0,15.1,1152.0,204.0,861.0,153.0,1747.0,1508.0,25.6,25.6,0.8254,2.5,2.9,4.3,3.3,142.0,135.0,134.0,154.0,13,2,3
2004-03-17 14:00:00,2.6,1389.0,152.0,13.7,1108.0,161.0,887.0,123.0,1712.0,1334.0,25.9,25.9,0.8503,2.8,2.5,2.9,4.0,153.0,142.0,135.0,161.0,14,2,3
2004-03-17 15:00:00,2.0,1207.0,103.0,10.4,994.0,135.0,1013.0,104.0,1520.0,1045.0,26.8,18.7,0.65,2.6,2.8,2.5,3.8,123.0,153.0,142.0,161.0,15,2,3
2004-03-17 16:00:00,2.9,1365.0,193.0,15.2,1154.0,186.0,940.0,129.0,1679.0,1221.0,29.3,15.8,0.6309,2.0,2.6,2.8,2.8,104.0,123.0,153.0,128.0,16,2,3
2004-03-17 17:00:00,2.5,1247.0,134.0,12.3,1060.0,147.0,1032.0,114.0,1525.0,1069.0,28.5,14.9,0.5708,2.9,2.0,2.6,2.9,129.0,104.0,123.0,129.0,17,2,3
2004-03-17 18:00:00,5.0,1557.0,386.0,27.0,1478.0,299.0,793.0,158.0,1981.0,1569.0,25.9,16.0,0.5237,2.5,2.9,2.0,2.9,114.0,129.0,104.0,133.0,18,2,3
2004-03-17 22:00:00,2.8,1444.0,206.0,15.0,1150.0,202.0,770.0,136.0,1727.0,1727.0,17.2,44.1,0.8558,5.0,2.5,2.9,3.4,158.0,114.0,129.0,139.0,22,2,3
2004-03-17 23:00:00,2.6,1488.0,216.0,15.7,1171.0,178.0,731.0,127.0,1778.0,1705.0,16.0,50.9,0.9206,2.8,5.0,2.5,3.9,136.0,158.0,114.0,137.0,23,2,3
2004-03-18 00:00:00,2.3,1371.0,159.0,13.0,1083.0,154.0,796.0,116.0,1669.0,1551.0,14.8,53.9,0.9024,2.6,2.8,5.0,3.2,127.0,136.0,158.0,143.0,0,3,3
2004-03-18 01:00:00,1.4,1161.0,70.0,8.1,904.0,92.0,947.0,107.0,1502.0,1240.0,14.3,55.4,0.8975,2.3,2.6,2.8,5.1,116.0,127.0,136.0,177.0,1,3,3
2004-03-18 02:00:00,1.0,1064.0,44.0,5.5,787.0,61.0,1057.0,88.0,1407.0,1115.0,14.8,52.1,0.8686,1.4,2.3,2.6,2.6,107.0,116.0,127.0,138.0,2,3,3
2004-03-18 03:00:00,0.7,970.0,42.0,3.6,687.0,60.5,1196.0,83.0,1351.0,969.0,13.9,53.9,0.8501,1.0,1.4,2.3,1.7,88.0,107.0,116.0,117.0,3,3,3
2004-03-18 04:00:00,0.6499999999999999,954.0,28.0,2.9,645.0,60.0,1260.0,78.0,1334.0,925.0,11.6,61.9,0.8442,0.7,1.0,1.4,1.7,83.0,88.0,107.0,107.0,4,3,3
2004-03-18 05:00:00,0.6,931.0,20.0,2.5,623.0,37.0,1293.0,57.0,1307.0,828.0,12.0,58.9,0.8233,0.6499999999999999,0.7,1.0,1.2,78.0,83.0,88.0,90.0,5,3,3
2004-03-18 06:00:00,0.7,938.0,26.0,3.0,650.0,68.0,1251.0,71.0,1333.0,893.0,10.9,62.1,0.8113,0.6,0.6499999999999999,0.7,0.9,57.0,78.0,83.0,79.0,6,3,3
2004-03-18 07:00:00,1.5,1166.0,78.0,7.7,885.0,139.0,1005.0,85.0,1551.0,1075.0,10.6,63.3,0.8067,0.7,0.6,0.6499999999999999,0.7,71.0,57.0,78.0,69.5,7,3,3
2004-03-18 08:00:00,4.7,1643.0,319.0,23.3,1384.0,339.0,667.0,124.0,2094.0,1610.0,11.5,60.0,0.8117,1.5,0.7,0.6,0.6,85.0,71.0,57.0,60.0,8,3,3
2004-03-18 10:00:00,4.5,1617.0,505.4660194174757,21.3,1333.0,349.0,686.0,150.0,2010.0,1819.0,17.8,40.5,0.821,4.7,1.5,0.7,0.5,124.0,85.0,71.0,40.0,10,3,3
2004-03-18 11:00:00,2.8,1473.0,504.93203883495147,14.3,1127.0,224.0,831.0,152.0,1752.0,1568.0,20.8,34.4,0.8365,4.5,4.7,1.5,0.5,150.0,124.0,85.0,53.0,11,3,3
2004-03-18 12:00:00,2.2,1379.0,504.3980582524272,12.5,1068.0,171.0,899.0,139.0,1663.0,1374.0,23.8,28.2,0.8219,2.8,4.5,4.7,1.6,152.0,150.0,124.0,84.0,12,3,3
2004-03-18 13:00:00,2.2,1385.0,503.86407766990294,12.2,1056.0,149.0,891.0,133.0,1648.0,1268.0,24.2,28.7,0.8515,2.2,2.8,4.5,4.1,139.0,152.0,150.0,108.0,13,3,3
2004-03-18 14:00:00,2.3,1379.0,503.33009708737865,13.1,1087.0,137.0,901.0,126.0,1660.0,1144.0,25.2,24.9,0.7829,2.2,2.2,2.8,4.3,133.0,139.0,152.0,134.0,14,3,3
2004-03-18 15:00:00,2.2,1322.0,502.79611650485435,14.4,1129.0,149.0,934.0,128.0,1639.0,1109.0,27.0,17.8,0.6275,2.3,2.2,2.2,2.9,126.0,133.0,139.0,135.0,15,3,3
2004-03-18 16:00:00,2.8,1496.0,502.2621359223301,16.8,1205.0,172.0,822.0,169.0,1767.0,1347.0,27.1,23.1,0.818,2.2,2.3,2.2,2.5,128.0,126.0,133.0,142.0,16,3,3
